Auction #,Bidder 1,Bidder 2
1,7.301374164,5.35065233
2,6.749042803,8.074020886
3,7.319306185,9.516682643
4,9.401882388,9.460755502
5,5.598346649,9.865837286
6,9.771436219,9.888593403
7,7.234481015,6.914812367
8,7.993674841,8.558539547
9,7.597813975,6.187112354
10,9.766541383,7.79497188
11,9.385329306,9.328676825
12,8.587174144,9.766349133
13,6.772339079,7.765864899
14,8.334029638,8.485695366
15,7.594048372,7.426509091
16,7.230400122,8.225176325
17,5.269334957,9.557367481
18,7.862695917,8.019098483
19,9.886764935,9.658216063
20,5.959304596,6.328579745
21,7.622055251,9.406524345
22,6.725039975,6.830388314
23,5.684920564,9.517799396
24,5.227753851,7.659751103
25,7.890268306,7.913513274
26,6.494665399,6.3495946
27,8.00166802,6.016629304
28,7.590496857,8.315214012
29,7.900790783,7.258214012
30,6.188682853,9.992592082
31,6.634994184,9.700688102
32,9.668976003,6.869497903
33,9.58947134,7.257639206
34,9.555112616,9.64439546
35,7.466877836,6.134738146
36,5.392164307,8.967804795
37,7.576865905,8.70734371
38,7.589121596,9.145998796
39,7.283445322,6.787979649
40,9.526331601,5.48756614
41,7.206700675,9.098479138
42,8.52489952,5.892865457
43,7.78849986,9.864076379
44,9.261089299,7.965954306
45,9.806545386,6.83768562
46,5.211554245,9.505612144
47,7.69248037,6.165040899
48,9.274503971,7.673354858
49,8.638515385,8.487377935
50,9.645896641,5.610590735
51,8.143769352,7.777350423
52,6.550786562,6.561587145
53,6.029251277,5.774394116
54,6.550713693,6.869423481
55,7.925973246,9.420281509
56,8.239386744,6.365876994
57,8.667690661,6.713021673
58,6.135890327,6.304088248
59,5.338959565,9.119965002
60,8.530002364,8.322958208
61,7.794956992,8.937613983
62,7.474545417,8.238220735
63,8.534145457,5.991260953
64,8.906913785,6.791428494
65,6.021023127,5.919339549
66,7.815199847,9.448092511
67,5.572810966,7.075155549
68,7.853413778,9.900390936
69,6.635510696,5.157045465
70,8.220143777,9.860077793
71,5.803287251,8.305041918
72,8.429895194,8.219395698
73,7.013254583,5.96500363
74,8.038637607,9.007189162
75,5.705596547,6.969330486
76,7.259863108,8.793165197
77,7.121319478,7.862315233
78,6.700965126,9.187238422
79,6.03190932,7.771824754
80,5.658550003,5.956262066
81,6.474339264,7.121143336
82,7.132611811,9.103252871
83,7.40280826,9.286160346
84,6.64721213,8.17417617
85,7.200906195,9.494587931
86,5.135000651,6.065071885
87,5.586536447,9.790929098
88,6.158797522,8.512550146
89,5.197057154,7.087425812
90,8.58617676,9.187663781
91,5.864942886,9.803679287
92,8.312901495,6.808500564
93,8.782643369,6.937188306
94,8.696705977,8.201256158
95,6.764897978,9.89175771
96,8.069199788,9.706713427
97,7.243801703,5.327114632
98,7.342632742,9.514391737
99,6.083205824,7.978468409
100,7.982677872,6.791696669
101,6.11509748,7.532785013
102,6.390351937,9.034704945
103,9.778255804,7.864953042
104,9.897821598,5.995045422
105,5.769553465,5.155620165
106,8.764133841,7.607700336
107,8.469721378,5.227247382
108,8.361515091,8.276800468
109,8.95477499,9.453583073
110,5.65646089,7.880063792
111,6.476049454,5.805295272
112,7.366515447,8.33418194
113,8.354894219,6.872524061
114,9.338436965,7.811654224
115,5.171440131,6.610468383
116,6.242455201,9.167951059
117,9.819782432,9.914139187
118,9.265870734,8.112519466
119,5.599046856,6.334374679
120,8.185161652,8.209510163
121,9.629867775,5.744884573
122,7.554219966,8.897088739
123,6.55398547,8.651111953
124,7.963938262,7.27598195
125,8.318695742,6.982289351
126,7.232914231,9.827191611
127,9.983398912,9.333528098
128,9.516463755,6.807097203
129,5.891962897,8.334501343
130,7.034147791,8.257196223
131,9.661922069,5.407274509
132,9.990020633,7.633853093
133,5.793585298,5.384026089
134,9.914807059,8.779699086
135,5.265111695,7.112711635
136,8.979983942,7.262217171
137,8.731324459,9.273856968
138,8.449089416,8.825775331
139,5.062718301,8.252284903
140,7.678538213,6.898452463
141,8.996775617,5.035095959
142,5.182110466,8.168179762
143,5.649954081,5.358138557
144,6.353307998,7.037685734
145,8.1092231,9.677513663
146,7.426708433,6.891030875
147,6.104106473,9.828398491
148,6.92249641,8.136673693
149,8.463209024,8.955652621
150,6.911719347,6.82381238
151,8.840605874,9.15755582
152,6.771798632,8.000522812
153,5.449624172,9.320750114
154,8.96562816,9.190015102
155,5.883750619,5.041460946
156,9.517359582,5.896420238
157,7.233515374,9.145853707
158,8.081288868,8.388770777
159,8.740026935,6.432601781
160,9.487640794,5.316517559
161,5.384363504,9.898153029
162,5.617586421,9.624408987
163,6.357817193,7.57762196
164,8.889297263,8.797592505
165,9.046869576,7.617653836
166,5.34322664,7.586024653
167,7.809409401,9.642451123
168,8.293996808,8.068594479
169,8.615801371,9.703740697
170,7.014313064,8.969052338
171,8.464211512,8.06145325
172,8.817570463,8.743882745
173,9.649910354,6.124170173
174,6.863640638,6.742773404
175,7.713467935,8.726343333
176,9.362235336,5.894311692
177,6.185413919,9.360949746
178,8.458334991,6.270099997
179,5.269144425,8.311274514
180,5.324762047,8.20119353
181,7.777652467,7.199904178
182,7.077960397,8.353833628
183,8.424729037,8.449258514
184,5.84666779,5.520370478
185,5.409264823,6.911517807
186,8.256429395,5.109294497
187,8.189346313,6.83949874
188,5.604804831,7.386398575
189,5.160021663,7.697189546
190,6.672470666,7.713461268
191,7.108995728,6.233024146
192,5.163157873,8.696963407
193,7.440615456,9.401916075
194,5.00578791,6.540599722
195,8.211556979,7.95614417
196,7.868944153,5.462493479
197,6.677819315,9.488359256
198,5.121150137,6.852659188
199,5.777609711,5.841801086
200,7.822915069,9.253931485
201,9.337569573,7.316526021
202,5.759256158,8.499659587
203,5.613578395,7.286473354
204,5.97451306,6.895773376
205,6.27362046,9.33819788
206,8.599198462,8.875977932
207,9.839615775,9.56609093
208,6.611044765,5.566205152
209,8.925699254,7.295565747
210,6.044814017,7.653033749
211,6.405311235,8.850746525
212,6.28555675,7.620648293
213,6.774202513,7.135159938
214,5.9977422,7.265651919
215,6.184970892,9.528467878
216,7.040592682,9.680489257
217,9.425840344,6.690269344
218,7.430365416,7.362825775
219,7.271617482,5.625722771
220,9.608722304,8.549511451
221,5.154267516,5.036551818
222,7.252402955,5.040689158
223,8.378410665,5.677505727
224,9.384605904,9.56384177
225,9.517949643,8.17622303
226,9.836781478,8.045697188
227,5.862219808,9.351833776
228,6.325253805,5.899859698
229,6.2669875,5.321139975
230,7.218216438,7.90651495
231,5.222536905,9.023539636
232,6.470474186,5.114148699
233,6.809176861,7.92036318
234,6.604768467,6.282498273
235,7.821528934,7.131027843
236,6.132470118,9.596048729
237,6.106208599,9.250045527
238,5.280119644,8.758686219
239,8.373611805,7.855486811
240,7.560617644,7.495190326
241,5.462585249,8.802838149
242,6.580482999,5.630632018
243,5.963920398,6.384130794
244,9.038489882,6.608718905
245,9.528303477,5.622422062
246,7.957664657,5.227322185
247,6.536549341,8.334423079
248,8.128898291,9.819587652
249,7.72536638,7.70070222
250,9.849571661,6.120932157
251,5.287981152,7.876510591
252,7.496859849,9.646042164
253,6.937786901,8.132965122
254,7.173192042,5.69261608
255,9.078905746,6.431659724
256,7.568470127,5.757653369
257,6.702123496,9.399278713
258,9.064243002,8.983549949
259,6.608068544,8.902531094
260,6.617845299,5.972373621
261,9.526627307,7.419360756
262,6.327036042,8.482098594
263,7.295094276,8.156303753
264,5.551431683,7.975334647
265,6.492625151,8.609757863
266,6.615735365,6.774536594
267,5.867115391,5.322790478
268,9.254940448,7.277593877
269,8.94577955,6.133303456
270,8.113013885,9.289114968
271,6.57922082,5.124843629
272,6.415203667,8.258165852
273,6.857987616,6.870693431
274,9.078368095,6.715916493
275,5.769609596,6.74583794
276,8.270338079,5.335460498
277,7.411131607,5.655990719
278,9.347213412,7.567905796
279,5.221233093,8.603960815
280,7.083288068,7.478956354
281,6.090953071,7.24912452
282,9.838419702,8.612506807
283,5.064265109,6.693118929
284,5.779508097,8.628653975
285,5.187021035,5.086181435
286,8.865024681,5.155303465
287,6.861752334,7.6667469
288,7.495410617,5.261034943
289,9.95107735,6.011317474
290,5.977188971,6.6001618
291,8.119593397,8.953244697
292,9.686249566,8.85928043
293,8.280556243,7.957406288
294,8.256683482,8.241502741
295,7.76068571,8.965214277
296,9.575901626,6.520433739
297,9.561163202,9.982700904
298,9.808453344,5.45419799
299,7.618774699,6.921185442
300,9.805009725,9.833185561
301,7.962386868,7.198119473
302,5.795531882,9.551995148
303,6.127558769,5.855336209
304,6.34345143,5.614782717
305,7.38959354,5.893675275
