tempo	vkg_oliva_1	vkg_oliva_2	vkg_oliva_3	vkg_oliva_4	vkg_oliva_5	vkg_oliva_6	vkg_oliva_7	vkg_oliva_8	vkg_oliva_9	vval_oliva_1	vval_oliva_2	vval_oliva_3	vval_oliva_4	vval_oliva_5	vval_oliva_6	vval_oliva_7	vval_oliva_8	vval_oliva_9	svol_oliva_1	svol_oliva_2	svol_oliva_3	svol_oliva_4	svol_oliva_5	svol_oliva_6	svol_oliva_7	svol_oliva_8	svol_oliva_9	sval_oliva_1	sval_oliva_2	sval_oliva_3	sval_oliva_4	sval_oliva_5	sval_oliva_6	sval_oliva_7	sval_oliva_8	sval_oliva_9	vkg_soja_1	vkg_soja_2	vkg_soja_3	vkg_soja_4	vkg_soja_5	vkg_soja_6	vkg_soja_7	vkg_soja_8	vkg_soja_9	vval_soja_1	vval_soja_2	vval_soja_3	vval_soja_4	vval_soja_5	vval_soja_6	vval_soja_7	vval_soja_8	vval_soja_9	svol_soja_1	svol_soja_2	svol_soja_3	svol_soja_4	svol_soja_5	svol_soja_6	svol_soja_7	svol_soja_8	svol_soja_9	sval_soja_1	sval_soja_2	sval_soja_3	sval_soja_4	sval_soja_5	sval_soja_6	sval_soja_7	sval_soja_8	sval_soja_9	vkg_composto_1	vkg_composto_2	vkg_composto_3	vkg_composto_4	vkg_composto_5	vval_composto_1	vval_composto_2	vval_composto_3	vval_composto_4	vval_composto_5	svol_composto_1	svol_composto_2	svol_composto_3	svol_composto_4	svol_composto_5	sval_composto_1	sval_composto_2	sval_composto_3	sval_composto_4	sval_composto_5	vkg_canola_1	vkg_canola_2	vkg_canola_3	vkg_canola_4	vkg_canola_5	vkg_canola_6	vval_canola_1	vval_canola_2	vval_canola_3	vval_canola_4	vval_canola_5	vval_canola_6	svol_canola_1	svol_canola_2	svol_canola_3	svol_canola_4	svol_canola_5	svol_canola_6	sval_canola_1	sval_canola_2	sval_canola_3	sval_canola_4	sval_canola_5	sval_canola_6	vkg_girassol_1	vkg_girassol_2	vkg_girassol_3	vkg_girassol_4	vval_girassol_1	vval_girassol_2	vval_girassol_3	vval_girassol_4	svol_girassol_1	svol_girassol_2	svol_girassol_3	svol_girassol_4	sval_girassol_1	sval_girassol_2	sval_girassol_3	sval_girassol_4	vkg_milho_1	vkg_milho_2	vkg_milho_3	vkg_milho_4	vkg_milho_5	vkg_milho_6	vkg_milho_7	vval_milho_1	vval_milho_2	vval_milho_3	vval_milho_4	vval_milho_5	vval_milho_6	vval_milho_7	svol_milho_1	svol_milho_2	svol_milho_3	svol_milho_4	svol_milho_5	svol_milho_6	svol_milho_7	sval_milho_1	sval_milho_2	sval_milho_3	sval_milho_4	sval_milho_5	sval_milho_6	sval_milho_7
1	620.06	399.26	141.88	266.99	28.79	257.46	615.19	83.59	0	11353.14	6464.85	1794.12	3717.15	394.17	1837.28	8530.21	1026.73	0	17.14	11.03	3.92	7.38	0.8	7.12	17	2.31	0	22.66	12.9	3.58	7.42	0.79	3.67	17.02	2.05	0	29026.26	24887.1	4139.16	49590.15	2169.96	35938.6	11321.69	11807.3	3463.43	40983.03	35377.15	5605.89	70740.82	3066.13	51241.97	15412.91	16580.51	5107.38	22.02	18.88	3.14	37.63	1.65	27.27	8.59	8.96	2.63	22.04	19.03	3.01	38.05	1.65	27.56	8.29	8.92	2.75	0	729	0	0	182	0	3083	0	0	912	0	76.27	0	0	19.08	0	70	0	0	20.7	504	532.67	0	21.57	79.96	48.28	1710.07	2211.99	0	73.26	245.91	161.94	30.15	31.86	0	1.29	4.78	2.89	27.63	35.74	0	1.18	3.97	2.62	1273.36	0	413.6	1095.63	3193.62	0	996.36	2941.58	17.05	0	5.54	14.67	16.2	0	5.05	14.92	743	1911	0	363	281	30	0	2124	6025	0	992.8	699.3	84.6	0	15.8	40.7	0	7.8	6	0.6	0	15.2	43	0	7.1	5	0.6	0
2	576.8	316.92	125.73	239.29	32.5	226.42	626.12	88.82	0	10715.8	5344.45	1609.94	3251.92	468.36	1699.85	8297.07	1000.72	0	17.67	9.71	3.85	7.33	1	6.94	19.18	2.72	0	23.69	11.81	3.56	7.19	1.04	3.76	18.34	2.21	0	30747.41	24953.08	5794.34	45691.96	2538.3	33175.42	10008.69	10789.36	2840.65	40330.24	33258.45	7071.78	61272.65	3467.76	44209.91	12254.45	14316.43	3821.83	23.7	19.24	4.47	35.22	1.96	25.57	7.72	8.32	2.19	23.58	19.45	4.13	35.83	2.03	25.85	7.17	8.37	2.23	0	634	0	0	229	0	2814	0	0	1133	0	69.94	0	0	25.19	0	64.57	0	0	26.01	603.24	399.01	0	40.78	112.85	60.93	2028.58	1681.69	0	136.94	339.54	211.45	33.45	22.13	0	2.26	6.26	3.38	31.42	26.05	0	2.12	5.26	3.28	1065.01	0	565.96	959.65	2640.92	0	1286.83	2528.16	14.36	0	7.63	12.94	13.91	0	6.78	13.32	702	1802	0	332	260	39	0	1928	5675	0	924.4	662	102.7	0	15.5	39.9	0	7.3	5.8	0.9	0	14.3	42	0	6.8	4.9	0.8	0
3	669.21	319.17	151.42	271.48	21.44	251.75	636.93	150.12	0	12053.38	5244.96	1873.24	3694.1	310.43	1881.42	8652.08	1620.87	0	19.31	9.21	4.37	7.84	0.62	7.27	18.38	4.33	0	25.21	10.97	3.92	7.73	0.65	3.93	18.09	3.39	0	30459.01	25754.35	4704.65	46963.74	3754.43	33053.95	13356.15	11622.04	4112.02	39383.65	33624.67	5759	61463.27	4926.21	43007.94	15840.5	15173.55	5475.43	22.48	19.01	3.47	34.66	2.77	24.4	9.86	8.58	3.03	22.6	19.29	3.3	35.27	2.83	24.68	9.09	8.71	3.14	0	686	0	0	255	0	3150	0	0	1305	0	70.04	0	0	26.09	0	65.76	0	0	27.24	574.91	347.3	0	36.5	87.25	103.78	1887.92	1439.1	0	128.3	256.63	326.91	34.78	21.01	0	2.21	5.28	6.28	32.64	24.88	0	2.22	4.44	5.65	1173.71	0	485.65	995.81	2871.63	0	1102.92	2605.95	15.28	0	6.32	12.97	15.18	0	5.83	13.77	596	2044	0	265	257	35	0	1657	6329	0	692.2	619.4	96.1	0	13.3	45.6	0	5.9	5.7	0.8	0	12.6	48.3	0	5.3	4.7	0.7	0
4	595.89	315.09	156.79	364.56	26.78	220.93	619.92	160.77	26.09	10736.28	4962.86	2038.51	4666.28	387.28	1604.67	8407.19	1726.37	409.25	17.63	9.32	4.64	10.79	0.79	6.54	18.34	4.76	0.77	23.23	10.74	4.41	10.1	0.84	3.47	18.19	3.74	0.89	27539.44	23366.83	4172.6	51223.08	3305.05	35865.32	11627.53	15562.11	3621.78	34961.77	29794.45	5167.33	64107.44	4178.65	44800.5	13718.33	19325.51	4633.05	20.3	17.22	3.08	37.76	2.44	26.44	8.57	11.47	2.67	20.68	17.62	3.06	37.92	2.47	26.5	8.11	11.43	2.74	0	746	0	0	265	0	3482	0	0	1319	0	71.05	0	0	25.27	0	67.32	0	0	25.49	574.43	391.42	0	40.5	79.5	113.95	1850.32	1591.29	0	146.26	222.58	351.67	32.12	21.89	0	2.26	4.45	6.37	29.95	25.76	0	2.37	3.6	5.69	1207.56	0	494.87	872.31	2870.19	0	1104.35	2250.6	16.2	0	6.64	11.7	16.3	0	6.27	12.78	602	2269	0	351	251	32	0	1676	7037	0	870.7	635.2	81.2	0	12.8	48.3	0	7.5	5.4	0.7	0	12.3	51.8	0	6.4	4.7	0.6	0
5	645.11	367.55	111.93	330	19.14	218.76	691.95	216.12	18.93	11357.7	5639.71	1458.52	4206.22	269.59	1603.66	8982.72	2336.14	290.01	18.46	10.52	3.2	9.44	0.55	6.26	19.8	6.18	0.54	24.11	11.97	3.1	8.93	0.57	3.4	19.07	4.96	0.62	26878.82	21706.55	5172.28	51120.54	3320.08	34124.82	10461.57	14924.66	3139.2	32833.61	26823.56	6010.05	62333.36	4143.1	41638.83	12185.19	18016.19	3796.91	20.35	16.44	3.92	38.71	2.51	25.84	7.92	11.3	2.38	20.56	16.79	3.76	39.03	2.59	26.07	7.63	11.28	2.38	0	765	0	0	281	0	3596	0	0	1370	0	70.3	0	0	25.8	0	67.05	0	0	25.54	612.39	432.26	0	87.75	75.38	103.54	2021.17	1769.94	0	300.9	204.88	321.95	31.68	22.36	0	4.54	3.9	5.36	30.14	26.4	0	4.49	3.06	4.8	1189.66	0	552.33	684.78	2686.3	0	1173.81	1737.16	17.03	0	7.91	9.8	16.55	0	7.23	10.7	673	1891	0	335	402	35	0	1911	5670	0	828.7	978.7	81.9	0	14.3	40.1	0	7.1	8.5	0.7	0	14.5	43.1	0	6.3	7.4	0.6	0
6	711.86	365.87	95.15	319.45	21.27	224.24	841.12	336.61	23.72	11986.88	5589.4	1220.98	4022.29	278.95	1664.92	10152.82	3163.15	375.88	18.64	9.58	2.49	8.36	0.56	5.87	22.02	8.81	0.62	24.22	11.29	2.47	8.13	0.56	3.36	20.51	6.39	0.76	25460.81	20971.91	4488.89	48359.54	3150.8	32639.78	9749.78	11149.71	2855.79	31050.87	25919.67	5131.2	58188.31	3781.7	39055.71	11271.63	13524.59	3486.95	20.52	16.9	3.62	38.98	2.54	26.31	7.86	8.99	2.3	20.91	17.46	3.46	39.19	2.55	26.31	7.59	9.11	2.35	0	772	0	0	263	0	3768	0	0	1276	0	72.7	0	0	24.78	0	71.07	0	0	24.07	637.61	376.18	0	44.77	93.8	111.3	2118.74	1575.13	0	138.09	242.65	359.39	35.33	20.85	0	2.48	5.2	6.17	33.64	25.01	0	2.19	3.85	5.71	1413.15	0	695.84	802.13	3206.36	0	1436.75	1973.17	19.27	0	9.49	10.94	19.13	0	8.57	11.77	591	1725	0	402	448	30	0	1665	5401	0	954.9	1083.1	71.6	0	12.9	37.7	0	8.8	9.8	0.7	0	13	42.2	0	7.5	8.5	0.6	0
7	792.31	449.06	109.22	317.97	17.56	277.57	990.37	318.3	23.36	13877.54	6942.34	1410.25	3984.92	228.27	1983.78	12077.32	3017.87	387.95	19.06	10.8	2.63	7.65	0.42	6.68	23.82	7.66	0.56	25.26	12.64	2.57	7.25	0.42	3.61	21.99	5.49	0.71	22447.42	19325.88	3121.54	50452.23	2865.11	35848.98	12052.41	14914.98	4138.75	29631.74	25805.89	3825.85	65272.53	3704.43	46389.91	14369.01	19100.96	5355.28	16.38	14.1	2.28	36.8	2.09	26.15	8.79	10.88	3.02	17	14.8	2.19	37.44	2.12	26.61	8.24	10.96	3.07	0	755	0	0	294	0	3707	0	0	1486	0	70.19	0	0	27.37	0	68.09	0	0	27.29	707.63	378.1	0	59.31	156.77	115.86	2292.11	1544.87	0	197.56	393.1	368.07	35.99	19.23	0	3.02	7.97	5.89	34.69	23.38	0	2.99	5.95	5.57	1261.73	0	799.76	763.69	2854.87	0	1657.55	1893.69	17.65	0	11.19	10.69	17.19	0	9.98	11.4	546	1919	0	434	493	60	0	1559	6102	0	1022.9	1153	139.6	0	11.3	39.8	0	9	10.2	1.3	0	11.6	45.2	0	7.6	8.5	1	0
8	753.66	473.76	116.08	332.18	18.02	257.52	983.57	237.2	20.48	12789.26	6832.84	1480.78	4115.8	231.5	1799.51	11800.37	2384.36	332.62	18.77	11.8	2.89	8.27	0.45	6.41	24.5	5.91	0.51	24.5	13.09	2.84	7.89	0.44	3.45	22.61	4.57	0.64	21388.11	19163.54	2224.56	52192.12	3948.52	34656.73	12392.9	13582.95	4467.89	28440.36	25660.9	2779.46	67873.83	5198.55	45221.16	15334.34	17796.8	5857.45	15.66	14.03	1.63	38.21	2.89	25.37	9.07	9.94	3.27	16.16	14.58	1.58	38.56	2.95	25.69	8.71	10.11	3.33	0	761	0	0	311	0	3778	0	0	1566	0	68.82	0	0	28.08	0	66.84	0	0	27.7	677.99	372.89	0	87.52	131.13	80.66	2232.43	1542.53	0	269.6	323.31	267.53	35.42	19.48	0	4.57	6.85	4.21	34.55	23.87	0	4.17	5	4.14	1392.47	0	829.41	680.07	3091.59	0	1720.05	1701.33	19.62	0	11.69	9.58	19.19	0	10.68	10.56	530	2108	0	401	549	48	0	1487	6421	0	956.4	1246.4	115.8	0	10.6	42.3	0	8	11	1	0	10.9	47.1	0	7	9.2	0.9	0
9	870.19	473.51	107.36	367.7	25.56	271.38	883.39	260.29	23.17	14598.73	6840.19	1352.86	4689.11	320.08	1819.61	10939	2821.57	369.38	21.54	11.72	2.66	9.1	0.63	6.72	21.87	6.44	0.57	27.38	12.83	2.54	8.79	0.6	3.41	20.51	5.29	0.69	23861.13	19216.34	4644.79	52679.71	3124.37	35372.33	12629.22	12534.09	3455.72	31874.53	26032.22	5842.31	69377.11	4096.15	46806.46	15606.59	16648.5	4564.2	17.69	14.25	3.44	39.06	2.32	26.23	9.36	9.29	2.56	18.12	14.8	3.32	39.43	2.33	26.6	8.87	9.46	2.59	0	745	0	0	274	0	3844	0	0	1390	0	71.21	0	0	26.16	0	69.93	0	0	25.29	693.31	336.23	6.01	123.81	162.32	80.12	2273.76	1369.12	15.5	424.67	397.28	273.23	35.06	17	0.3	6.26	8.21	4.05	34.44	20.74	0.23	6.43	6.02	4.14	1669.29	58.25	590.42	672.9	3700.36	108.4	1299.06	1738.27	23.49	0.82	8.31	9.47	22.59	0.66	7.93	10.61	595	2136	10	427	624	69	0	1651	6390	20	996.9	1431.7	153.6	0	11	39.4	0.2	7.9	11.5	1.3	0	11.4	44	0.1	6.9	9.9	1.1	0
10	692.77	387.7	121.61	284.55	30.25	294.93	941.64	266.11	26.2	12402.4	6302.76	1623.98	4012.53	412.2	2003.79	12087.44	2948.23	447.4	18.16	10.17	3.19	7.46	0.79	7.73	24.69	6.98	0.69	23.74	12.07	3.11	7.68	0.79	3.84	23.14	5.64	0.86	20774.8	16806.86	3967.94	50510.25	3647.86	35251.49	14539.12	12127.36	2806.57	34818.69	28544.79	6273.91	82836.36	6036.48	58194.29	22739.66	18918.2	4768.75	15.43	12.48	2.95	37.52	2.71	26.18	10.8	9.01	2.08	16.01	13.13	2.89	38.1	2.78	26.77	10.46	8.7	2.19	0	792	0	0	272	0	4278	0	0	1453	0	72.9	0	0	25.05	0	71.84	0	0	24.41	753.35	430.02	249.74	118.36	140.95	99.97	2617.84	1788.32	829.33	423.36	371.24	349.36	34.59	19.75	11.47	5.43	6.47	4.59	34.28	23.42	10.86	5.54	4.86	4.58	2101.97	540.81	528.59	704.97	4986.3	1361.37	1296.47	1973	30.33	7.8	7.63	10.17	29.06	7.93	7.56	11.5	729	2161	363	332	586	61	0	2031	6551	910.3	823	1429.2	155.8	0	13.1	38.7	6.5	5.9	10.5	1.1	0	13.2	42.7	5.9	5.4	9.3	1	0
11	579.91	360.15	147.08	243.12	31.91	325.88	995.65	262.46	28.13	11492.3	6087.89	2047.03	3682.7	481.59	2280.38	13330.4	3201.17	415.75	14.96	9.29	3.79	6.27	0.82	8.41	25.68	6.77	0.73	21	11.13	3.74	6.73	0.88	4.17	24.36	5.85	0.76	23524.78	18475.31	5049.47	54112.35	4835.41	38302.9	14737.35	13837.79	3523.72	42145.26	33692.81	8452.44	96697.14	8742.99	68181.44	24830.65	24005.02	6249.31	16.63	13.06	3.57	38.26	3.42	27.08	10.42	9.78	2.49	16.99	13.58	3.41	38.98	3.52	27.49	10.01	9.68	2.52	0	878	1	0	347	0	5057	5	0	1813	0	70.58	0.06	0	27.86	0	71.35	0.07	0	25.58	995.25	572.68	554.41	297.49	278.49	112.02	3827.22	2632.31	2078.65	1025.85	748.89	409.05	32.36	18.62	18.03	9.67	9.06	3.64	33.16	22.81	18.01	8.89	6.49	3.54	1896.52	990.75	370.71	552.33	5485.48	2845.94	1073.16	1711.01	29.83	15.58	5.83	8.69	30.57	15.86	5.98	9.54	912	1864	854	337	710	90	0	2659	6223	2351.9	945.4	1891.3	239.3	0	16.2	33.2	15.2	6	12.6	1.6	0	16	37.5	14.2	5.7	11.4	1.4	0
12	614.44	393.62	165.94	189.44	40.18	301.09	1132.22	224.07	25.98	12969.45	7209.34	2421.34	3107.72	548.79	2157.39	15118.76	3076.73	416.06	15.76	10.1	4.26	4.86	1.03	7.72	29.04	5.75	0.67	22.3	12.4	4.16	5.34	0.94	3.71	26	5.29	0.72	21333.55	16438.52	4895.03	51503.64	7661.84	34275.78	13919.2	11110.97	4537.42	38075.19	29816.75	8258.44	91144.44	13465.95	60661.75	23573.7	19053.38	7985.52	15.74	12.13	3.61	37.99	5.65	25.28	10.27	8.2	3.35	16.09	12.6	3.49	38.53	5.69	25.64	9.96	8.05	3.38	0	909	6	0	328	0	5533	35	0	1749	0	71.96	0.44	0	25.97	0	73.11	0.46	0	23.11	907.55	541.25	503.35	301.64	334.97	91.93	3640.71	2495.89	1970.13	1043.88	973.43	348.04	31.45	18.76	17.44	10.45	11.61	3.19	32.61	22.36	17.65	9.35	8.72	3.12	1444.61	1222.75	495.19	454.47	4612.62	3600.91	1424.44	1522.56	26.81	22.69	9.19	8.43	28.26	22.06	8.73	9.33	1026	1697	1103	385	537	64	0	3122	5939	3105.2	1109.4	1531.9	172	0	19.3	32	20.8	7.3	10.1	1.2	0	19	36.1	18.9	6.8	9.3	1	0
