P_PEIXE	P_CARNE	P_PORCO	P_FRANGO	Q_PEIXE	Q_CARNE	Q_PORCO	Q_FRANGO	V_PEIXE	V_CARNE	V_PORCO	V_FRANGO
3.33381	2.929073	2.3	1.839798	2.822308	6.678077	.0153846	4.566346	9.409038	19.56058	.0353846	8.401154
			1.4	0	0	0	.0778846	0	0	0	.1090385
2.928152	2.582627	3.156667	1.970796	1.719712	5.379808	.1153846	3.806058	5.035577	13.89404	.3642308	7.500962
	3.315			0	.0384615	0	0	0	.1275	0	.0526923
2.624063	2.966699	3.021591	1.850109	2.044173	5.908212	.1692308	4.728827	5.364038	17.52788	.5113462	8.748846
5.52	3.25			.0384615	.0576923	0	0	.2123077	.1875	0	.0438462
2.826995	2.8331	3.956667	2.180773	2.399327	7.419231	.0576923	4.315865	6.782885	21.01942	.2282692	9.411923
2.35312	2.596036	1.868696	1.876086	2.465385	6.083462	.2211538	4.491346	5.801346	15.79288	.4132692	8.426154
2.530773	2.680585	3.202852	1.920783	2.177885	8.548077	.1483654	4.800827	5.511731	22.91385	.4751923	9.221346
2.307931	2.707788	3.094783	1.868878	2.480577	6.238346	.2211538	5.623077	5.725	16.89212	.6844231	10.50885
2.617601	2.885854	3.655	1.932178	3.029712	6.203269	.1153846	5.622788	7.930577	17.90173	.4217308	10.86423
2.485669	2.70432	4.022213	1.929029	2.734135	6.423269	.2424038	4.569558	6.796154	17.37058	.975	8.814808
2.204781	2.562845	3.378333	1.845884	1.971154	7.125346	.1153846	3.896923	4.345961	18.26115	.3898077	7.193269
	3.064286			0	.1346154	0	0	0	.4125	0	0
3.276151	2.844546	12.61	1.955878	1.878846	6.010692	.0192308	5.054192	6.155385	17.09769	.2425	9.885385
3.527115	2.639488	3.472	1.93262	2.329808	7.177019	.4807692	5.099692	8.2175	18.94365	1.669231	9.855769
2.881088	2.783996	4.851894	2.087327	2.791346	7.441365	.1999615	5.423942	8.042115	20.71673	.9701923	11.32154
2.713018	2.63849		2.065917	.325	1.044231	0	.8548077	.8817308	2.755192	0	1.765962
4.4425	2.777284		1.702211	.1538462	.8651923	0	.7826923	.6834615	2.402885	0	1.332308
3.853333	2.966667		2.05334	.0576923	.0865385	0	.3569231	.2223077	.2567308	0	.7328846
2.73			1.34	.0576923	0	0	.0384615	.1575	0	0	.0515385
	1.56		2.109524	0	.0192308	0	.0807692	0	.03	0	.1703846
	2.937778		1.180645	0	.0865385	0	.1192308	0	.2542308	0	.1407692
3.993164	3.637628	2.580173	2.401326	.8721154	3.983365	.2230769	3.916346	3.4825	14.49	.5755769	9.404423
3.78	2.56		1.591177	.0288462	.0288462	0	.0653846	.1090385	.0738462	0	.1040385
3.664806	3.449304	3.117323	2.24813	.8095192	3.515481	.2442308	4.692019	2.966731	12.12596	.7613462	10.54827
	.8	2.77		0	.0384615	.0384615	0	0	.0307692	.1065385	0
2.828715	3.327431	2.332828	2.324459	1.145192	3.084558	.3807692	4.287019	3.239423	10.26365	.8882692	9.965
3.516023	3.492918	3.418823	2.172447	.9961538	4.074673	.3269231	5.001538	3.5025	14.2325	1.117692	10.86558
2.955827	3.976785	2.531977	2.228557	1.288654	3.876827	.3307692	4.445962	3.809038	15.41731	.8375	9.908077
3.95	3.58		1.930435	.0192308	.0288462	0	.1548077	.0759615	.1032692	0	.2988462
3.058834	3.523482	3.11844	2.343241	1.055769	3.910577	.2711538	4.502885	3.229423	13.77885	.8455769	10.55135
2.843443	3.363797	2.195332	2.355184	.9605769	3.926538	.1565385	4.670385	2.731346	13.20808	.3436539	10.99962
2.880894	3.36601	3.241667	2.247065	.9461538	4.780769	.3230769	5.536538	2.725769	16.09212	1.047308	12.44096
	9.15			0	.0192308	0	0	0	.1759615	0	.0230769
2.895453	3.893583	2.484348	2.128396	.6999038	3.500385	.4423077	5.369519	2.026538	13.62904	1.098846	11.42846
3.440496	3.242142	2.362838	2.16727	.8225	3.596269	.3943269	4.297058	2.829808	11.65962	.9317308	9.312885
3.698781	3.650928	2.859254	2.363302	.6307692	3.547096	.2602885	4.075865	2.333077	12.95019	.7442308	9.6325
				0	0	0	0	0	0	0	.0475
4.683418	3.456788	2.126407	2.236009	.9451923	3.928558	.4442308	5.111269	4.426731	13.58019	.9446154	11.42885
3.501786	3.380629	2.609767	2.213621	1.076923	4.022692	.4134615	4.752308	3.771154	13.59923	1.079038	10.51981
			1.572727	0	0	0	.0423077	0	0	0	.0665385
3.292079	3.400907	2.659487	2.627427	.1942308	.4240385	.1875	.4655769	.6394231	1.442115	.4986538	1.223269
2	3.324231		2.766013	.0192308	.5	0	.2942308	.0384615	1.662115	0	.8138462
3.413333	3.536	2.84	2.109333	.0576923	.0961538	.0384615	.2884615	.1969231	.34	.1092308	.6084615
1.624	2.1144		2.308908	.0480769	.2403846	0	.1947308	.0780769	.5082692	0	.4496154
	3.8	4.5	2.057143	0	.0192308	.0192308	.1615385	0	.0730769	.0865385	.3323077
1.823333	3.075		2.252727	.0576923	.0769231	0	.2115385	.1051923	.2365385	0	.4765385
2.12	3.717391	2.25	1.846988	.0769231	.0884615	.0192308	.1596154	.1630769	.3288462	.0432692	.2948077
3	3.817143		2.418	.0192308	.0673077	0	.0961538	.0576923	.2569231	0	.2325
3.473333	3.306035		2.23662	.0576923	.2230769	0	.1365385	.2003846	.7375	0	.3053846
	4.04		3.94	0	.0096154	0	.0576923	0	.0388462	0	.2273077
	3.466667		1.811111	0	.0576923	0	.0865385	0	.2	0	.1567308
		2.325	2.36	0	0	.0384615	.0384615	0	0	.0894231	.0907692
2.94	2.676923		2.312222	.0192308	.125	0	.1730769	.0565385	.3346154	0	.4001923
	3.6		3.22	0	.0192308	0	.0384615	0	.0692308	0	.1238462
3.154416	3.487002	3.111667	2.73446	1.038654	3.337173	.1153846	3.276346	3.276346	11.63673	.3590385	8.959038
