county,population,SPC,urban,MidWest,dBenton,southern,Kmart,WalMart,smallstores,dKmart,dWMart,X1,X2,X3,count0,count1,count2,nfirms
1.00,3.72,8.62,0.55,0.00,6.23,1.00,1.00,1.00,5.00,0.03,0.03,0.00,0.03,0.14,0,0,1,2
3.00,3.29,8.24,0.29,0.00,6.39,1.00,0.00,1.00,6.00,0.02,0.02,1.00,0.06,0.14,0,1,0,1
4.00,2.93,7.86,0.19,0.00,6.15,1.00,0.00,1.00,1.00,0.09,0.09,1.00,0.05,0.08,0,1,0,1
5.00,3.80,7.94,0.09,0.00,6.14,1.00,0.00,1.00,6.00,0.24,0.26,1.00,0.04,0.02,0,1,0,1
6.00,2.43,7.71,0.35,0.00,6.34,1.00,0.00,0.00,3.00,0.06,0.06,0.00,0.05,0.21,1,0,0,0
7.00,3.08,8.33,0.25,0.00,6.29,1.00,0.00,1.00,6.00,0.02,0.02,1.00,0.02,0.12,0,1,0,1
9.00,3.60,8.21,0.50,0.00,6.32,1.00,0.00,1.00,5.00,0.11,0.11,1.00,0.07,0.19,0,1,0,1
10.00,3.07,8.18,0.00,0.00,6.24,1.00,1.00,0.00,6.00,0.14,0.14,0.00,0.16,0.24,0,1,0,1
11.00,3.59,8.35,0.12,0.00,6.20,1.00,0.00,1.00,7.00,0.03,0.05,1.00,0.07,0.14,0,1,0,1
12.00,2.77,7.91,0.00,0.00,6.12,1.00,0.00,0.00,5.00,0.03,0.03,0.00,0.00,0.11,1,0,0,0
13.00,3.35,8.53,0.25,0.00,6.19,1.00,0.00,1.00,11.00,0.00,0.00,1.00,0.00,0.06,0,1,0,1
14.00,2.63,7.63,0.00,0.00,6.26,1.00,0.00,0.00,4.00,0.05,0.10,0.00,0.02,0.13,1,0,0,0
15.00,2.65,7.78,0.00,0.00,6.27,1.00,0.00,0.00,4.00,0.18,0.21,0.00,0.07,0.15,1,0,0,0
16.00,3.74,8.71,0.44,0.00,6.37,1.00,0.00,1.00,9.00,0.02,0.02,1.00,0.04,0.20,0,1,0,1
17.00,3.97,8.73,0.53,0.00,5.94,1.00,1.00,1.00,8.00,0.06,0.06,0.00,0.07,0.31,0,0,1,2
18.00,2.64,7.46,0.00,0.00,6.29,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.04,0.15,1,0,0,0
19.00,2.45,6.71,0.03,0.00,6.24,1.00,0.00,0.00,2.00,0.05,0.08,0.00,0.03,0.18,1,0,0,0
20.00,3.62,8.47,0.28,0.00,6.35,1.00,0.00,1.00,11.00,0.02,0.02,1.00,0.02,0.15,0,1,0,1
21.00,2.62,7.85,0.00,0.00,6.32,1.00,0.00,0.00,4.00,0.03,0.03,0.00,0.02,0.17,1,0,0,0
23.00,3.89,7.85,0.44,0.00,6.40,1.00,1.00,1.00,6.00,0.04,0.04,0.00,0.02,0.16,0,0,1,2
24.00,3.85,8.41,0.53,0.00,6.20,1.00,1.00,1.00,10.00,0.00,0.00,0.00,0.03,0.12,0,0,1,2
25.00,4.05,8.22,0.12,0.00,6.20,1.00,1.00,1.00,11.00,0.13,0.13,0.00,0.12,0.14,0,0,1,2
26.00,4.10,8.03,0.38,0.00,6.27,1.00,0.00,1.00,9.00,0.06,0.06,1.00,0.03,0.15,0,1,0,1
27.00,3.60,8.52,0.39,0.00,6.30,1.00,1.00,1.00,11.00,0.10,0.10,0.00,0.00,0.06,0,0,1,2
29.00,2.90,8.25,0.21,0.00,6.02,1.00,0.00,1.00,4.00,0.09,0.09,1.00,0.02,0.13,0,1,0,1
30.00,3.39,8.26,0.28,0.00,5.95,1.00,0.00,1.00,8.00,0.03,0.05,1.00,0.05,0.27,0,1,0,1
31.00,3.21,7.91,0.13,0.00,6.40,1.00,0.00,1.00,9.00,0.03,0.03,1.00,0.06,0.21,0,1,0,1
32.00,2.30,7.58,0.00,0.00,6.07,1.00,0.00,0.00,3.00,0.03,0.03,0.00,0.00,0.09,1,0,0,0
33.00,2.80,7.60,0.15,0.00,6.11,1.00,0.00,0.00,3.00,0.03,0.03,0.00,0.02,0.11,1,0,0,0
34.00,2.75,8.12,0.00,0.00,6.42,1.00,0.00,0.00,4.00,0.04,0.04,0.00,0.06,0.17,1,0,0,0
36.00,3.93,8.21,0.23,0.00,6.17,1.00,1.00,1.00,8.00,0.06,0.06,0.00,0.11,0.20,0,0,1,2
38.00,2.77,7.84,0.00,0.00,5.97,1.00,0.00,0.00,5.00,0.04,0.06,0.00,0.03,0.27,1,0,0,0
40.00,3.50,7.69,0.07,0.00,6.02,1.00,0.00,1.00,7.00,0.14,0.14,1.00,0.09,0.20,0,1,0,1
42.00,4.11,8.32,0.33,0.00,6.05,1.00,1.00,1.00,10.00,0.15,0.15,0.00,0.05,0.17,0,0,1,2
43.00,2.56,7.43,0.00,0.00,6.26,1.00,0.00,0.00,1.00,0.04,0.04,0.00,0.07,0.17,1,0,0,0
44.00,3.14,7.46,0.50,0.00,6.33,1.00,0.00,1.00,1.00,0.09,0.09,1.00,0.03,0.17,0,1,0,1
46.00,3.16,8.24,0.29,0.00,6.14,1.00,0.00,1.00,7.00,0.00,0.00,1.00,0.02,0.08,0,1,0,1
47.00,3.43,8.13,0.00,0.00,5.97,1.00,0.00,1.00,8.00,0.02,0.05,1.00,0.03,0.27,0,1,0,1
50.00,3.18,8.39,0.22,0.00,6.25,1.00,0.00,1.00,4.00,0.00,0.00,1.00,0.03,0.09,0,1,0,1
53.00,2.53,7.36,0.00,0.00,6.16,1.00,0.00,0.00,4.00,0.02,0.02,0.00,0.07,0.16,1,0,0,0
54.00,3.04,8.26,0.00,0.00,6.01,1.00,0.00,0.00,9.00,0.03,0.03,0.00,0.04,0.15,1,0,0,0
55.00,3.35,8.49,0.40,0.00,6.35,1.00,0.00,1.00,6.00,0.03,0.03,1.00,0.03,0.18,0,1,0,1
56.00,2.99,7.93,0.22,0.00,6.30,1.00,0.00,1.00,3.00,0.12,0.15,1.00,0.03,0.13,0,1,0,1
57.00,3.93,7.94,0.64,0.00,6.38,1.00,1.00,1.00,4.00,0.08,0.08,0.00,0.00,0.09,0,0,1,2
58.00,4.11,7.93,0.13,0.00,6.18,1.00,1.00,0.00,9.00,0.17,0.21,0.00,0.00,0.04,0,1,0,1
60.00,2.77,7.91,0.00,0.00,6.07,1.00,0.00,1.00,4.00,0.03,0.03,1.00,0.00,0.03,0,1,0,1
62.00,3.70,8.22,0.25,0.00,6.29,1.00,0.00,1.00,7.00,0.05,0.08,1.00,0.02,0.16,0,1,0,1
65.00,2.87,7.52,0.00,0.00,6.19,1.00,0.00,0.00,2.00,0.02,0.02,0.00,0.00,0.09,1,0,0,0
